,year,doy,tile,sensor,HLSFAPAR,FieldFAPAR,HLSFAPARstd,sza,site
0,2013,196,T17TNH,L30,0.94223523,0.9642361902798813,0.027357634,27.26,CA-TP4
1,2013,260,T17TNH,L30,0.9582472,0.9593628371936049,0.015759287,43.59,CA-TP4
2,2013,324,T17TNH,L30,0.9534926,0.9490650359960636,0.016030956,64.12,CA-TP4
3,2014,231,T17TNH,L30,0.94578147,0.9658257614457476,0.026319424,34.800000000000004,CA-TP4
4,2014,247,T17TNH,L30,0.9474261,0.9617112489316036,0.024032049,39.44,CA-TP4
5,2015,154,T17TNH,L30,0.91938496,0.9665702985017938,0.04198242,25.86,CA-TP4
6,2015,202,T17TNH,L30,0.94525445,0.970081531045797,0.02564366,28.44,CA-TP4
7,2015,250,T17TNH,L30,0.95014447,0.9648011127982798,0.022331424,40.33,CA-TP4
8,2015,266,T17TNH,L30,0.95784295,0.9642729723396011,0.016248878,45.62,CA-TP4
9,2016,077,T17TNH,L30,0.92961776,0.9564157290246235,0.03463424,47.78,CA-TP4
10,2016,173,T17TNH,L30,0.9364288,0.9660579002816806,0.02995611,25.36,CA-TP4
11,2016,205,T17TNH,L30,0.94360447,0.967009952854898,0.025228964,28.86,CA-TP4
12,2016,221,T17TNH,L30,0.9484772,0.9678780111028616,0.02307367,32.17,CA-TP4
13,2016,237,T17TNH,L30,0.95189995,0.964532737847802,0.021234402,36.31,CA-TP4
14,2016,317,T17TNH,L30,0.95169204,0.9518774471614841,0.017024213,62.26,CA-TP4
15,2017,143,T17TNH,L30,0.9174422,0.964601589667164,0.04369756,27.02,CA-TP4
16,2017,335,T17TNH,L30,0.958077,0.949531899470242,0.012899939,66.4,CA-TP4
17,2013,116,T17TNH,L30,0.34143785,0.39338315828278536,0.0632197,33.06,CA-TPD
18,2013,260,T17TNH,L30,0.951475,0.9315769694919133,0.025301557,43.58,CA-TPD
19,2013,324,T17TNH,L30,0.6015607,0.5710285252570162,0.057924848,64.09,CA-TPD
20,2014,151,T17TNH,L30,0.81332546,0.8850804119734653,0.058442354,26.09,CA-TPD
21,2015,154,T17TNH,L30,0.882501,0.9364669934446543,0.058511358,25.900000000000002,CA-TPD
22,2015,202,T17TNH,L30,0.9215143,0.9389991351679404,0.04119707,28.488888888888887,CA-TPD
23,2015,250,T17TNH,L30,0.8697019,0.8672803483172485,0.045546427,40.33,CA-TPD
24,2015,266,T17TNH,L30,0.8856591,0.9037379534068857,0.04003583,45.61,CA-TPD
25,2016,077,T17TNH,L30,0.53250647,0.6868985967937375,0.06681617,47.79,CA-TPD
26,2016,109,T17TNH,L30,0.38016903,0.4671384892698575,0.05827157,35.77444444444444,CA-TPD
27,2016,141,T17TNH,L30,0.65026474,0.736909334662234,0.078665115,27.48,CA-TPD
28,2016,173,T17TNH,L30,0.9465298,0.947981842316865,0.029996054,25.41,CA-TPD
29,2016,189,T17TNH,L30,0.9232957,0.9532582021466937,0.042522952,26.580000000000002,CA-TPD
30,2016,205,T17TNH,L30,0.9561589,0.957590583778993,0.020238144,28.900000000000002,CA-TPD
31,2016,221,T17TNH,L30,0.9454373,0.95759876123448,0.030992635,32.2,CA-TPD
32,2016,237,T17TNH,L30,0.93331933,0.9078542698701777,0.03988452,36.33,CA-TPD
33,2016,317,T17TNH,L30,0.5676354,0.5781834786610828,0.057789095,62.230000000000004,CA-TPD
34,2017,127,T17TNH,L30,0.5061967,0.554752218419279,0.07348569,30.26,CA-TPD
35,2017,143,T17TNH,L30,0.70330685,0.8129376212744905,0.06264155,27.05,CA-TPD
36,2017,175,T17TNH,L30,0.9485372,0.9593344270144151,0.028967312,25.526666666666667,CA-TPD
37,2017,335,T17TNH,L30,0.7456204,0.6100270236162215,0.05195801,66.37,CA-TPD
38,2013,234,T18TYP,L30,0.9399768,0.9641502689811887,0.0253114,36.71,US-Bar
39,2013,257,T18TYP,L30,0.9265759,0.9630206934119995,0.03731935,43.410000000000004,US-Bar
40,2013,273,T18TYP,L30,0.89832795,0.9470001958534334,0.06231161,49.01,US-Bar
41,2013,282,T18TYP,L30,0.8459117,0.9159281825141425,0.087782495,52.57,US-Bar
42,2015,183,T18TYP,L30,0.9506257,0.9664542880993,0.01997117,26.330000000000002,US-Bar
43,2015,215,T18TYP,L30,0.9482105,0.9674979366498254,0.020033583,31.37,US-Bar
44,2015,240,T18TYP,L30,0.9463301,0.9645881180425275,0.021427589,38.53,US-Bar
45,2015,247,T18TYP,L30,0.93511707,0.9607791462568667,0.02990526,40.11,US-Bar
46,2015,279,T18TYP,L30,0.92112607,0.9463782760506982,0.04255318,51.08,US-Bar
47,2015,288,T18TYP,L30,0.81205404,0.9183935281735396,0.10510295,54.6,US-Bar
48,2015,304,T18TYP,L30,0.7981224,0.8637721024703625,0.10229693,59.9,US-Bar
49,2015,320,T18TYP,L30,0.85686976,0.7529122263582836,0.076112084,64.47,US-Bar
50,2015,327,T18TYP,L30,0.8620039,0.731102785651413,0.072234415,65.81,US-Bar
51,2016,090,T18TYP,L30,0.70187736,0.6407108740540325,0.12359275,43.43,US-Bar
52,2016,106,T18TYP,L30,0.73366785,0.6225401537488622,0.1066077,37.47,US-Bar
53,2016,147,T18TYP,L30,0.93291104,0.9313167742943033,0.03115402,27.71,US-Bar
54,2016,170,T18TYP,L30,0.950506,0.955616619037151,0.017503697,25.63,US-Bar
55,2016,186,T18TYP,L30,0.95040387,0.952040694326459,0.018284477,26.53,US-Bar
56,2016,195,T18TYP,L30,0.94883513,0.963262389015151,0.019235022,28.38,US-Bar
57,2016,218,T18TYP,L30,0.9329209,0.9643343447395557,0.033849604,31.96,US-Bar
58,2016,259,T18TYP,L30,0.94673306,0.9592853710405336,0.02241332,44.44,US-Bar
59,2016,266,T18TYP,L30,0.94244945,0.956749927049775,0.024734972,46.38111111111112,US-Bar
60,2016,291,T18TYP,L30,0.80899066,0.896132098367248,0.106060825,55.53,US-Bar
61,2016,323,T18TYP,L30,0.8691987,0.8115377158859861,0.06639615,65.13,US-Bar
62,2017,140,T18TYP,L30,0.9172518,0.887903321423513,0.044491272,28.0,US-Bar
63,2017,165,T18TYP,L30,0.949775,0.958355431102606,0.018764783,26.38,US-Bar
64,2017,213,T18TYP,L30,0.9424655,0.9611903160111195,0.02414926,31.71777777777778,US-Bar
65,2017,245,T18TYP,L30,0.9393418,0.9486723640489629,0.027838638,40.17,US-Bar
66,2017,268,T18TYP,L30,0.928915,0.9503382270262678,0.036569864,47.36,US-Bar
67,2017,277,T18TYP,L30,0.9122376,0.9459097100926659,0.050621133,50.93,US-Bar
68,2017,284,T18TYP,L30,0.87385046,0.9341593843842692,0.07459463,53.01,US-Bar
69,2017,293,T18TYP,L30,0.80511147,0.9027269789957986,0.10111904,56.47,US-Bar
70,2017,300,T18TYP,L30,0.84092647,0.8816457273998086,0.084179424,58.46,US-Bar
71,2016,289,T18TYP,S30,0.8413839,0.8885740641182723,0.09403768,53.660000000000004,US-Bar
72,2017,278,T18TYP,S30,0.90462685,0.9436070025181837,0.053386856,49.97,US-Bar
73,2017,283,T18TYP,S30,0.88409483,0.9315501216711188,0.07227674,51.77,US-Bar
74,2013,234,T19TCJ,L30,0.9428332,0.9641502689811887,0.024775574,36.71,US-Bar
75,2013,257,T19TCJ,L30,0.9242095,0.9630206934119995,0.039330978,43.410000000000004,US-Bar
76,2013,273,T19TCJ,L30,0.89207256,0.9470001958534334,0.06336882,49.01,US-Bar
77,2013,282,T19TCJ,L30,0.8447302,0.9159281825141425,0.086015195,52.57,US-Bar
78,2015,183,T19TCJ,L30,0.95579267,0.9664542880993,0.016458852,26.330000000000002,US-Bar
79,2015,215,T19TCJ,L30,0.9529193,0.9674979366498254,0.017980617,31.37,US-Bar
80,2015,240,T19TCJ,L30,0.9492814,0.9645881180425275,0.019901026,38.53,US-Bar
81,2015,247,T19TCJ,L30,0.9393582,0.9607791462568667,0.027665768,40.11,US-Bar
82,2015,279,T19TCJ,L30,0.9200137,0.9463782760506982,0.045389537,51.08,US-Bar
83,2015,288,T19TCJ,L30,0.7955736,0.9183935281735396,0.10697116,54.6,US-Bar
84,2015,304,T19TCJ,L30,0.8129178,0.8637721024703625,0.09092612,59.9,US-Bar
85,2015,320,T19TCJ,L30,0.86238265,0.7529122263582836,0.075546704,64.47,US-Bar
86,2015,327,T19TCJ,L30,0.8727521,0.731102785651413,0.06913266,65.81,US-Bar
87,2016,090,T19TCJ,L30,0.7291876,0.6407108740540325,0.113948666,43.43,US-Bar
88,2016,106,T19TCJ,L30,0.75409424,0.6225401537488622,0.10370675,37.47,US-Bar
89,2016,147,T19TCJ,L30,0.9391326,0.9313167742943033,0.029176762,27.71,US-Bar
90,2016,170,T19TCJ,L30,0.95285106,0.955616619037151,0.016946582,25.63,US-Bar
91,2016,186,T19TCJ,L30,0.9538837,0.952040694326459,0.015993407,26.53,US-Bar
92,2016,195,T19TCJ,L30,0.95172787,0.963262389015151,0.01634122,28.38,US-Bar
93,2016,218,T19TCJ,L30,0.9381892,0.9643343447395557,0.028326498,31.96,US-Bar
94,2016,259,T19TCJ,L30,0.94994384,0.9592853710405336,0.019340523,44.44,US-Bar
95,2016,266,T19TCJ,L30,0.94378865,0.956749927049775,0.02452512,46.38,US-Bar
96,2016,291,T19TCJ,L30,0.8118457,0.896132098367248,0.109501384,55.53,US-Bar
97,2016,323,T19TCJ,L30,0.88021404,0.8115377158859861,0.05935922,65.13,US-Bar
98,2017,140,T19TCJ,L30,0.9149101,0.887903321423513,0.044321314,28.0,US-Bar
99,2017,165,T19TCJ,L30,0.9519716,0.958355431102606,0.016465768,26.38,US-Bar
100,2017,213,T19TCJ,L30,0.94875705,0.9611903160111195,0.019806601,31.714444444444442,US-Bar
101,2017,245,T19TCJ,L30,0.94310737,0.9486723640489629,0.024368618,40.17,US-Bar
102,2017,268,T19TCJ,L30,0.9318874,0.9503382270262678,0.035435695,47.36,US-Bar
103,2017,277,T19TCJ,L30,0.92124873,0.9459097100926659,0.04545271,50.93,US-Bar
104,2017,284,T19TCJ,L30,0.87512994,0.9341593843842692,0.074455045,53.01,US-Bar
105,2017,293,T19TCJ,L30,0.8081752,0.9027269789957986,0.09921515,56.47,US-Bar
106,2017,300,T19TCJ,L30,0.8437364,0.8816457273998086,0.081341065,58.46,US-Bar
107,2016,289,T19TCJ,S30,0.8583045,0.8885740641182723,0.08260658,53.660000000000004,US-Bar
108,2016,309,T19TCJ,S30,0.8083102,0.811202806260894,0.11047958,60.31,US-Bar
109,2017,278,T19TCJ,S30,0.9022025,0.9436070025181837,0.054497432,49.97,US-Bar
110,2017,283,T19TCJ,S30,0.8940082,0.9315501216711188,0.066679224,51.78,US-Bar
111,2013,106,T18TYN,L30,0.38324636,0.405479466,0.0955152,36.61,US-HF
112,2013,122,T18TYN,L30,0.41797954,0.38604231000000006,0.09807892,31.622222222222224,US-HF
113,2013,170,T18TYN,L30,0.86570084,0.910081828,0.037562177,25.47,US-HF
114,2013,193,T18TYN,L30,0.85672104,0.922224928,0.03988268,26.47888888888889,US-HF
115,2013,218,T18TYN,L30,0.8005874,0.9398186230000001,0.053042173,31.79,US-HF
116,2013,234,T18TYN,L30,0.77317214,0.811927198,0.052990984,35.79,US-HF
117,2013,250,T18TYN,L30,0.86371017,0.9157317825,0.04101389,40.52,US-HF
118,2013,266,T18TYN,L30,0.87443024,0.9130840564000001,0.035721686,45.81,US-HF
119,2013,273,T18TYN,L30,0.8164603,0.8950478105,0.056216214,47.79,US-HF
120,2014,141,T18TYN,L30,0.68978035,0.6703846445,0.06476469,27.78,US-HF
121,2014,221,T18TYN,L30,0.88813084,0.941105613,0.027752874,32.660000000000004,US-HF
122,2014,237,T18TYN,L30,0.8769711,0.8126037495,0.036719494,36.77,US-HF
123,2014,276,T18TYN,L30,0.82527995,0.9216129825,0.0558241,48.870000000000005,US-HF
124,2014,285,T18TYN,L30,0.78301024,0.9043765095,0.05460597,52.410000000000004,US-HF
125,2015,128,T18TYN,L30,0.49699056,0.5812200194999999,0.08610847,30.51,US-HF
126,2015,144,T18TYN,L30,0.7945553,0.8577869735,0.05598304,27.42,US-HF
127,2015,192,T18TYN,L30,0.87768227,0.8782919856666666,0.03299826,27.44,US-HF
128,2015,215,T18TYN,L30,0.8562904,0.9385044566666667,0.037987333,30.57,US-HF
